gvkey,conm,tic,cusip,cik,sic,fyear,datadate,at,restatement
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,2014,20141231,43771.0000,0
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,2015,20151231,48415.0000,0
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,2016,20161231,51274.0000,0
001045,AMERICAN AIRLINES GROUP INC,AAL,02376R102,0000006201,4512,2017,20171231,51396.0000,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2010,20101231,12362.7030,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2011,20111231,13111.0180,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2012,20121231,13379.6150,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2013,20131231,13508.6860,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2014,20141231,14313.5320,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2015,20151231,15028.2580,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2016,20161231,16004.2530,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2017,20171231,17019.0820,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2018,20181231,17664.2020,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2019,20191231,18479.2470,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2020,20201231,20020.4210,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2021,20211231,22003.2220,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2022,20221231,22723.4050,0
001075,PINNACLE WEST CAPITAL CORP,PNW,723484101,0000764622,4911,2023,20231231,24661.1530,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2010,20101231,59462.2660,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2011,20111231,60276.8930,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2012,20121231,67234.9440,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2013,20131231,42953.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2014,20141231,41275.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2015,20151231,41247.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2016,20161231,52666.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2017,20171231,76250.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2018,20181231,67173.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2019,20191231,67887.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2020,20201231,72548.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2021,20211231,75196.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2022,20221231,74438.0000,0
001078,ABBOTT LABORATORIES,ABT,002824100,0000001800,3845,2023,20231231,73214.0000,0
001161,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,2010,20101231,4964.0000,0
001161,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,2011,20111231,4954.0000,0
001161,ADVANCED MICRO DEVICES,AMD,007903107,0000002488,3674,2012,20121231,4000.0000,0
